,player_name,kills,deaths,wins,losess,xp,headshots,melee_kills,games_played,time_played
179,Yolo_InVi,"2,853","1,834",293,166,"6,638,402","1,031",28,459,136h
180,Al-Baquara,"29,135","21,803","3,299","2,067","74,669,670","11,137",261,"5,366","1,657h"
181,Yuzmix,"21,718","22,058","2,494","2,136","59,071,686","9,554",320,"4,630","1,443h"
182,RyZe_-TheBeZt-,"66,748","55,617","8,263","4,126","188,315,471","20,345",456,"12,389","4,091h"
183,TahLeBandit,"23,797","15,342","2,481","1,600","55,536,317","8,761",897,"4,081","1,211h"
184,Dennxtt,687,395,85,23,"1,790,188",280,1,108,31h
185,fJustis,"3,922","2,921",693,156,"13,077,029","1,205",16,849,257h
186,ATKKenny,"37,217","30,258","5,172","2,294","98,985,703","13,384","1,526","7,466","2,182h"
187,oLemxn,"9,463","9,587","1,195",963,"23,782,732","4,399",162,"2,158",657h
188,FurtiveCR,"5,580","4,519",631,456,"15,527,874","1,947",207,"1,087",328h
189,SSMexicanz,"1,041",640,163,44,"2,586,014",398,13,207,53h
190,lBustaWolf,"11,413","8,035","1,487",694,"30,457,331","4,652",126,"2,181",669h
191,Axe_Man522,"16,585","12,288","1,778","1,275","41,028,874","6,033",203,"3,053",920h
192,Natixz-U5,"25,659","21,823","3,310","2,104","65,033,155","9,075",362,"5,414","1,635h"
193,JstBilot,"38,036","24,854","5,518","1,415","107,450,001","12,070",393,"6,933","2,178h"
194,akaR6x,"26,503","21,143","3,493","1,810","68,478,369","10,247",525,"5,303","1,573h"
195,Xelohify,"5,458","4,281",585,413,"12,881,064","2,171",133,998,296h
196,JamoIIy,"5,458","4,281",585,413,"12,881,064","2,171",133,998,296h
197,QsTz,"42,454","33,735","5,507","2,961","106,646,039","18,831",466,"8,468","2,675h"
198,bdog800,"28,494","22,201","3,662","2,113","82,067,176","10,134",420,"5,775","1,889h"
199,lIlI_lIIl_lIlI_,"23,002","18,461","3,491","2,453","61,920,436","7,637",341,"5,944","1,392h"
200,lIlI_lIIl_lIlI_,"10,367","7,844","1,325",893,"27,067,020","3,417",288,"2,218",617h
201,LouisTSteinhil,"33,134","27,264","3,775","2,747","78,438,663","14,107",583,"6,522","1,882h"
202,RickDNG,"28,337","21,377","3,514","1,638","78,547,344","11,061",259,"5,152","1,667h"
203,SumthinAwesume92,"57,350","43,435","6,028","4,535","144,522,289","18,900",921,"10,563","3,344h"
204,magicshoot15,"40,691","24,497","4,306","2,570","93,659,483","17,281",759,"6,876","2,091h"
205,jrocktitanup,"13,913","11,885","1,699",876,"34,299,901","5,766",104,"2,575",791h
206,ReadyPIayerTwo,"35,185","23,107","4,194","2,465","91,311,618","13,993",255,"6,659","1,883h"
207,Insane-bTu,"18,702","15,247","2,221","1,193","46,546,723","7,310",344,"3,414","1,072h"
208,KingMeat--,"49,521","39,231","5,228","3,978","118,603,521","21,339",751,"9,206","2,731h"
209,FooIaiid,"33,575","28,915","3,769","2,917","81,837,140","13,258",193,"6,686","2,124h"
210,Nox_III,"3,941","2,202",466,94,"9,814,381","1,388",30,560,187h
211,Ramtin_nyb,"37,469","33,518","4,099","3,085","93,594,529","15,249",477,"7,184","2,362h"
212,CaIaway,"18,602","14,914","2,221","1,490","42,790,278","7,141",271,"3,711","1,098h"
213,vReaIly-,"38,834","33,799","5,045","3,017","102,877,782","12,594",531,"8,062","2,622h"
214,DioIsBack,"28,834","26,466","3,515","2,857","69,474,685","11,239",455,"6,372","1,977h"
215,qApoc,"6,368","5,368",741,475,"16,709,324","2,696",77,"1,216",385h
216,qtXim,"10,587","9,582","1,188",982,"33,290,274","3,958",63,"2,170",714h
217,nickisbom,"46,373","44,692","5,384","5,196","117,971,747","18,579","1,125","10,580","3,027h"
218,pattyeroy,"18,609","13,355","1,800","1,398","48,969,914","7,983",176,"3,198","1,042h"
219,MKChoppa,"18,050","14,981","2,119","1,327","47,451,562","7,841",228,"3,446","1,095h"
220,Bruh_Nate_,"46,707","38,704","6,617","3,948","126,092,811","15,017","1,448","10,565","3,091h"
221,jay12704,"18,417","11,417","2,021",726,"42,135,099","8,152",178,"2,747",870h
